gene_name	mean_met
RP11-15H20.7	0
RP11-16N11.2	0.16
RP11-195C7.1	0.01
RP11-214N9.1	0
RP11-225N10.1	0
RP11-243E13.1	0.87
RP11-24C3.2	0
RP11-254F7.4	0
RP11-259G18.1	0
RP11-266L9.5	0
RP11-268P4.4	0.01
RP11-276H19.1	0.16
RP11-27N21.3	0
RP11-293M10.4	0.0333333333333333
RP11-293M10.5	0.04
RP11-299J3.8	0
RP11-305E17.6	0
RP11-310P5.2	0.1
RP11-312B8.1	0
RP11-315J22.5	0
RP11-317P15.4	0
RP11-325F22.2	0.03
RP11-333E1.1	0
RP11-334G22.1	0.03
RP11-340I6.7	0.05
RP11-343H19.1	0
RP11-347C12.2	0
RP11-350N15.5	0
RP11-354P17.15	0
RP11-359E3.4	0
RP11-367N14.2	0
RP11-375B1.3	0.05
RP11-383C5.5	0.19
RP11-390E23.6	0
RP11-390P2.4	0.015
RP11-395A13.2	0
RP11-3J1.1	0.9
RP11-40H20.4	0
RP11-417J8.3	0.84
RP11-420K14.2	0.15
RP11-42I10.1	0
RP11-430G17.3	0
RP11-433J8.1	0.13
RP11-435B5.4	0.73
RP11-439E19.3	0.95
RP11-43F13.1	0
RP11-440D17.3	0.07
RP11-449H11.1	0
RP11-44N21.1	0.02
RP11-461O7.1	0.02
RP11-465B22.3	0
RP11-467K18.2	0.22
RP11-46C24.3	0.06
RP11-480I12.10	0
RP11-480I12.5	0.025
RP11-483A20.3	0.02
RP11-486G15.2	0.01
RP11-502I4.3	0
RP11-516C1.1	0
RP11-521O16.1	0.01
RP11-545E17.3	0
RP11-545I5.3	0
RP11-547D24.3	0
RP11-54O7.16	0.02
RP11-568K15.1	0
RP11-572O17.1	0
RP11-600F24.7	0
RP11-646J21.5	0
RP11-649A18.12	0
RP11-64J4.2	0.32
RP11-656G20.1	0.095
RP11-65J3.14	0
RP11-66B24.7	0
RP11-67H24.1	0.78
RP11-685M7.3	0
RP11-686F15.3	0.01
RP11-692D12.1	0.03
RP11-692N5.1	0
RP11-712B9.2	0
RP11-739N20.2	0.09
RP11-73K9.2	0
RP11-756H6.1	0
RP11-761I4.3	0
RP11-776A13.1	0.55
RP11-77I22.2	0.01
RP11-77P6.2	0
RP11-79P5.3	0.55
RP11-81A22.5	0
RP11-848P1.9	0
RP11-867G23.13	0.05
RP11-888D10.3	0
RP11-88H9.2	0.01
RP11-89K21.1	0.14
RP11-91I20.2	0
RP11-923I11.5	0.02
RP11-944L7.4	0
RP11-95P2.3	0.005
RP11-989E6.1	0.746666666666667
RP11-9M16.2	0
RP13-1032I1.7	0.025
RP13-467H17.1	0
RP13-516M14.4	0
RP3-322G13.5	0
RP3-388M5.9	0.09
RP3-400B16.1	0
RP3-428L16.1	0.11
RP3-441A12.1	0
RP3-449O17.1	0
RP3-467N11.1	0
RP3-522D1.1	0.04
RP4-594I10.3	0
RP4-794H19.2	0
RP5-1024G6.5	0.02
RP5-1056L3.1	0.06
RP5-884C9.2	0.004
RP5-901A4.1	0
RP9	0
RPF2	0
RPL10A	0
RPL12	0
RPL13	0
RPL21	0
RPL23AP79	0.01
RPS19P1	0.86
RPS7	0
RRAGC	0
RRAGD	0
RREB1	0.005
RRM1	0
RRP1	0
RRP36	0
RRP7A	0
RSAD1	0
RSPO1	0.08
RSRC2	0
RTCA	0.01
RTFDC1	0.01
RTTN	0
RWDD1	0.04
RYK	0.02
SALL1	0.2
SAMD14	0
SAMHD1	0
SAP18	0
SAP30	0
SAP30L	0.00666666666666667
SART1	0.01
SBK1	0
SCAF1	0
SCAF8	0
SCAMP4	0.01
SCAND2P	0.01
SCAPER	0.015
SCARA3	0.03
SCARB2	0
SCD5	0
SCGB1B2P	0.05
SCGB3A1	0.045
SCN4B	0.005
SCUBE1	0.09
SCUBE3	0.02
SDC1	0
SDF2L1	0.0075
SDF4	0.00333333333333333
SDHAP1	0
SDHB	0
SDK1	0.11
SEC24B	0
SEC24B-AS1	0.01
SEC61A2	0
SECISBP2L	0
SEL1L	0.01
SELO	0
SEMA3D	0.06
SEMA6C	0
SENP3	0
SEPT5	0
SERHL2	0.01
SERPINE2	0
SETD3	0.00666666666666667
SETD5	0.02
SETX	0
SFRP5	0.015
SFSWAP	0
SFT2D1	0
SFT2D2	0
SFXN4	0.0025
SGCB	0.15
SGMS1	0
SGMS2	0.01
SGPP2	0
SGTA	0.01
SH2D4A	0.17
SH3D21	0.23
SH3GLB1	0
SH3RF3	0.0375
SHB	0
SHISA4	0.17
SHISA8	0.01
SHMT1	0
SHROOM1	0
SIGIRR	0
SIK1	0.01
SIM2	0.17
SIRPA	0
SIRT5	0
SIX2	0.06
SIX5	0.005
SLAIN1	0
SLBP	0.0075
SLC12A2	0
SLC12A7	0.03
SLC13A5	0.015
SLC16A11	0
SLC1A2	0.015
SLC22A16	0.235
SLC25A15	0
SLC25A16	0
SLC25A19	0.01
SLC25A29	0
SLC25A35	0
SLC25A37	0
SLC25A39	0
SLC25A48	0.05
SLC26A5	0.05
SLC27A4	0
SLC29A2	0
SLC29A3	0
SLC30A6	0.01
SLC31A2	0.01
SLC35C2	0.05
SLC35E2B	0.04
SLC35F3	0.625
SLC39A14	0
SLC3A2	0
SLC44A1	0
SLC45A4	0
SLC46A2	0.005
SLC4A4	0.03
SLC5A7	0.04
SLC6A11	0.575
SLC6A17	0.01
SLC6A6	0
SLC7A5	0.035
SLC7A5P2	0
SLC7A6	0
SLC9A2	0.045
SLC9A3R1	0
SLIT2	0.43
SLX4	0
SMAD5	0.005
SMAD6	0
SMARCA4	0
SMARCA5	0
SMARCAD1	0.04
SMARCB1	0.01
SMCO4	0
SMCR8	0
SMEK1	0
SMG9	0.00666666666666667
SMIM12	0
SMIM13	0
SMIM15	0
SMKR1	0
SMNDC1	0.02
SMOC2	0.33
SMPD1	0
SMUG1	0.01
SMURF2	0
SNAPC3	0
SNAPC5	0.01
SNHG1	0.04
SNHG17	0
SNHG5	0
SNRNP70	0
SNRPB2	0.01
SNRPG	0
SNTA1	0
SNX13	0.03
SNX18	0
SNX19	0
SNX30	0
SNX4	0
SNX9	0
SOBP	0
SOGA2	0
SOGA3	0.4
SORBS1	0.025
SORCS2	0.22
SORD	0
SORL1	0.0133333333333333
SORT1	0
SOWAHB	0.06
SOX14	0.4
SOX17	0.22
SP3	0
SP9	0.41
SPAG7	0
SPATA2	0.0275
SPEN	0
SPG11	0
SPG7	0
SPOPL	0.00666666666666667
SPRED1	0.01
SPRYD3	0
SPSB1	0.155
SPSB4	0.22
SPTB	0
SPTY2D1	0.03
SRD5A3-AS1	0
SRGAP1	0.03
SRM	0
SRP9	0.02
SRSF3	0
SRSF4	0
SRSF5	0
SSR3	0
SSSCA1	0.02
SSSCA1-AS1	0
SSU72	0.005
ST13	0
ST3GAL5	0.015
ST6GALNAC4	0
STAM2	0
STARD10	0
STARD5	0
STK11IP	0.01
STK4	0
STK4-AS1	0
STMND1	0.12
STOX1	0
STRBP	0
STX12	0
STX16	0.025
STXBP1	0
STYK1	0
SULF2	0.01
SULT4A1	0.295
SUSD1	0.02
SUV39H2	0
SUZ12	0.01
SUZ12P	0
SV2B	0.055
SV2C	0.05
SYCE3	0
SYF2	0
SYK	0
SYNCRIP	0.005
SYNE2	0.07
SYNGR1	0
SYNGR2	0
SYNJ2	0
SYNJ2BP	0.01
SYPL1	0.015
TACO1	0
TACSTD2	0.39
TADA1	0
TAF13	0
TAF1C	0
TAF7	0
TALDO1	0
TANC1	0.0466666666666667
TAOK3	0
TBC1D10B	0
TBC1D16	0.02
TBC1D2	0
TBC1D24	0
TBC1D7	0
TBC1D9	0.0114285714285714
TBC1D9B	0
TBCD	0
TBKBP1	0
TBL3	0
TBPL1	0
TBX6	0
TCEB3	0.01
TCF20	0.015
TCF24	0.04
TCTN1	0
TDRD7	0
TDRP	0.18
TEAD3	0
TEC	0
TECPR1	0
TEKT1	0.09
TENC1	0
TERT	0.00333333333333333
TES	0.04
TET1	0.03
TET3	0
TEX9	0
TFAP4	0.02
TFB2M	0
TFCP2	0
TFG	0.01
TGDS	0
TGFBR3L	0.01
TGFBRAP1	0
TGIF2	0
THA1P	0
THADA	0
THAP7	0
THEM4	0
THOC1	0
TIAM1	0.04
TIMM17A	0.06
TIMM44	0.005
TIMP2	0
TINF2	0
TIRAP	0.01
TLE1	0
TLE6	0.04
TLN2	0
TLR5	0
TM7SF3	0
TM9SF2	0
TMCC2	0
TMED4	0
TMEM11	0
TMEM126A	0
TMEM127	0.03
TMEM128	0
TMEM147	0
TMEM14B	0
TMEM163	0
TMEM165	0
TMEM178B	0.01
TMEM180	0
TMEM183A	0
TMEM189	0
TMEM194B	0
TMEM201	0.01
TMEM214	0
TMEM222	0.01
TMEM41A	0.055
TMEM44-AS1	0
TMEM45A	0.02
TMEM52	0.005
TMEM54	0.02
TMEM56	0
TMEM57	0.005
TMEM74B	0.01
TMEM9B	0.03
TMF1	0
TMTC2	0.03
TMTC4	0
TMX2	0
TNFAIP8	0
TNFRSF10B	0
TNFRSF11B	0.04
TNFRSF1B	0.06
TNKS1BP1	0
TNNC2	0.005
TNRC6A	0
TONSL	0
TOR2A	0
TP53RK	0
TP73-AS1	0.015
TPD52L2	0.03
TPP2	0.02
TPPP	0.0166666666666667
TPPP3	0.08
TRAF3	0.015
TRAF6	0
TRAK1	0
TRAP1	0.02
TRIB2	0.01
TRIM2	0.04
TRIM25	0.00333333333333333
TRIM44	0
TRIM52-AS1	0
TRIM65	0
TRIM71	0.03
TRIM8	0.02
TRMT1	0.14
TRNAU1AP	0.01
TRNT1	0
TRPM3	0.08
TSEN2	0
TSPAN2	0.01
TSSC4	0.01
TTC29	0.29
TTC30B	0
TTI1	0
TTLL13	0.18
TTLL6	0.065
TTPA	0.06
TTPAL	0
TUBA1B	0
TUBB2A	0
TUBGCP3	0.02
TUBGCP5	0
TUBGCP6	0
TWF1	0.01
TWIST2	0.56
TXNDC11	0
TYK2	0.02
U1	0.22
U2AF1	0
UAP1L1	0
UBA52	0.01
UBA6-AS1	0
UBAC2-AS1	0
UBE2H	0.01
UBE2J1	0.01
UBE2J2	0
UBE2K	0
UBE2M	0
UBE2T	0
UBE2V2	0
UBE2W	0.03
UBE3A	0
UBE4B	0.00666666666666667
UBL7	0.01
UBOX5	0.09
UBR4	0.015
UBR5	0
UBXN1	0.03
UBXN6	0
UBXN7	0
UCK1	0
UFSP1	0.02
UGT8	0
ULBP1	0.03
ULBP3	0.0333333333333333
ULK2	0.02
ULK3	0
UNC5A	0.08
UNC5B	0.01
UPF1	0.01
UPF3AP2	0.1
UPK3A	0.01
UPP2	0
UQCC2	0.015
URGCP	0
USE1	0
USMG5	0.01
USP1	0
USP12	0
USP18	0.03
USP2	0
USP24	0
USP33	0
USP38	0.01
USP42	0
USP46-AS1	0.02
USP6NL	0.012
UTF1	0.27
UTP18	0
UTP3	0.0166666666666667
UVSSA	0.025
UXS1	0.03
VAMP1	0.01
VAV2	0
VCPKMT	0
VENTX	0.03
VEZF1	0
VGF	0
VIMP	0.005
VLDLR	0.06
VPS18	0
VPS33A	0.01
VPS4B	0.0266666666666667
VPS54	0
VSNL1	0.00666666666666667
VSTM2A	0.52
VWA3B	0
WAPAL	0
WASF2	0
WASL	0
WDR18	0.01
WDR19	0
WDR4	0.02
WDR47	0
WDR60	0
WDR87	0
WDR90	0.04
WDYHV1	0
WHSC1	0
WI2-2373I1.1	0.05
WIF1	0.11
WIPI1	0
WIPI2	0.01
WNT1	0.01
WNT11	0
WNT2B	0
WNT7A	0.653333333333333
WRB	0.07
XAB2	0
XBP1	0
XKR4	0.3425
XPA	0
XPNPEP1	0
XPO1	0.005
XPO7	0
XRCC2	0
XRCC3	0
XRN2	0.01
XXbac-B444P24.10	0
YBX2	0.405
YBX3	0
YDJC	0
YEATS2	0
YIF1A	0.04
YPEL1	0
YTHDF1	0.00666666666666667
YTHDF3-AS1	0
YWHAQ	0.015
Z93241.1	0
ZBTB21	0.01
ZBTB48	0
ZC3H11A	0
ZC3H13	0.03
ZC3H14	0
ZC3H18	0
ZC3H3	0
ZC3H6	0
ZC3H7A	0
ZC3HAV1	0
ZCCHC11	0
ZCCHC6	0
ZDHHC13	0
ZDHHC14	0.03
ZDHHC23	0
ZDHHC24	0
ZFAND3	0
ZFP14	0.01
ZFP28	0
ZFP37	0
ZFP69B	0
ZFP82	0
ZFYVE16	0.0133333333333333
ZFYVE20	0
ZFYVE27	0.03
ZFYVE28	0
ZFYVE9	0
ZIC2	0.33
ZIC5	0.4
ZKSCAN5	0.01
ZMYM2	0
ZNF12	0.01
ZNF148	0
ZNF180	0
ZNF181	0.005
ZNF212	0
ZNF25	0
ZNF271	0
ZNF286A	0.03
ZNF302	0
ZNF304	0.005
ZNF32	0
ZNF324	0
ZNF331	0.01
ZNF335	0.02
ZNF337	0
ZNF33A	0
ZNF343	0.015
ZNF347	0
ZNF354C	0.0175
ZNF365	0.03
ZNF367	0
ZNF37BP	0
ZNF407	0
ZNF438	0
ZNF440	0.01
ZNF441	0
ZNF454	0.13
ZNF460	0
ZNF461	0.035
ZNF497	0.0233333333333333
ZNF507	0
ZNF510	0
ZNF512	0.00666666666666667
ZNF517	0.004
ZNF518B	0.0933333333333333
ZNF540	0.13
ZNF544	0.01
ZNF554	0.005
ZNF555	0.025
ZNF592	0
ZNF594	0.012
ZNF599	0
ZNF615	0.015
ZNF621	0
ZNF623	0
ZNF625	0
ZNF7	0
ZNF70	0.03
ZNF703	0.00333333333333333
ZNF74	0
ZNF783	0
ZNF786	0
ZNF787	0
ZNF804B	0.36
ZNF815P	0.01
ZNF835	0
ZNF837	0
ZNF843	0.0266666666666667
ZNF845	0.005
ZNF862	0
ZNF865	0
ZNF888	0
ZNF890P	0
ZNHIT2	0
ZNHIT6	0.01
ZPBP2	0.00333333333333333
ZSCAN2	0.06
ZSCAN20	0.00333333333333333
ZSCAN22	0
ZSCAN25	0
ZSWIM6	0.0266666666666667
ZXDC	0
