chrBase	chr	base	strand	coverage	freqC	freqT
1.10233285	1	10233285	F	230	0.00	100.00
1.10233304	1	10233304	F	232	0.00	100.00
1.10233310	1	10233310	F	231	0.00	100.00
1.10232218	1	10232218	R	31	0.00	100.00
1.10232240	1	10232240	R	32	0.00	100.00
1.10232250	1	10232250	R	231	0.43	99.57
1.10232258	1	10232258	R	245	0.00	100.00
1.10232279	1	10232279	R	248	0.00	100.00
1.10232283	1	10232283	R	247	0.00	100.00
1.10232300	1	10232300	R	246	0.00	100.00
1.10232304	1	10232304	R	63	1.59	98.41
1.10232309	1	10232309	R	54	0.00	100.00
1.10232313	1	10232313	R	64	0.00	100.00
1.10232318	1	10232318	R	64	3.12	96.88
1.10232321	1	10232321	R	61	3.28	96.72
1.10232332	1	10232332	R	67	2.99	97.01
1.10232334	1	10232334	R	66	3.03	96.97
1.10232338	1	10232338	R	65	1.54	98.46
1.10232346	1	10232346	R	20	0.00	100.00
1.10232348	1	10232348	R	20	0.00	100.00
1.10232351	1	10232351	R	19	0.00	100.00
1.10232353	1	10232353	R	20	0.00	100.00
1.10232363	1	10232363	R	20	0.00	100.00
1.10232412	1	10232412	R	226	0.88	99.12
1.10232432	1	10232432	R	245	0.41	99.59
1.10232455	1	10232455	R	246	0.41	99.59
1.10232499	1	10232499	R	98	0.00	100.00
1.10232501	1	10232501	R	101	0.00	100.00
1.10232510	1	10232510	R	101	0.00	100.00
1.10232513	1	10232513	R	101	0.00	100.00
1.10232516	1	10232516	R	103	0.00	100.00
1.10232519	1	10232519	R	101	0.00	100.00
1.10232522	1	10232522	R	104	0.00	100.00
1.10232528	1	10232528	R	101	0.00	100.00
1.10232604	1	10232604	R	102	0.00	100.00
1.10232613	1	10232613	R	104	0.00	100.00
1.10232621	1	10232621	R	102	0.00	100.00
1.10232633	1	10232633	R	102	0.00	100.00
1.10232636	1	10232636	R	105	0.00	100.00
1.10232649	1	10232649	R	106	0.00	100.00
1.10232653	1	10232653	R	103	0.00	100.00
1.10232690	1	10232690	R	176	0.00	100.00
1.10232699	1	10232699	R	173	0.00	100.00
1.10232704	1	10232704	R	169	0.00	100.00
1.10232708	1	10232708	R	180	0.00	100.00
1.10232716	1	10232716	R	167	0.00	100.00
1.10232719	1	10232719	R	180	0.00	100.00
1.10232723	1	10232723	R	181	0.00	100.00
1.10232730	1	10232730	R	176	0.00	100.00
1.10232732	1	10232732	R	174	0.00	100.00
1.10232736	1	10232736	R	180	0.00	100.00
1.10232740	1	10232740	R	180	0.00	100.00
1.10232778	1	10232778	R	30	0.00	100.00
1.10232782	1	10232782	R	35	2.86	97.14
1.10232791	1	10232791	R	35	0.00	100.00
1.10232799	1	10232799	R	35	0.00	100.00
1.10232804	1	10232804	R	33	3.03	96.97
1.10232921	1	10232921	R	163	0.00	100.00
1.10232924	1	10232924	R	163	0.61	99.39
1.10232930	1	10232930	R	161	0.00	100.00
1.10232933	1	10232933	R	171	0.00	100.00
1.10232950	1	10232950	R	169	0.00	100.00
1.10232953	1	10232953	R	173	0.00	100.00
1.10232963	1	10232963	R	171	0.00	100.00
1.10233063	1	10233063	R	100	0.00	100.00
1.10233065	1	10233065	R	102	0.00	100.00
1.10233068	1	10233068	R	96	0.00	100.00
1.10233071	1	10233071	R	104	0.00	100.00
1.10233085	1	10233085	R	107	0.93	99.07
1.10233092	1	10233092	R	104	0.00	100.00
1.10233095	1	10233095	R	104	0.00	100.00
1.10233097	1	10233097	R	104	0.00	100.00
1.10233106	1	10233106	R	106	0.00	100.00
1.10233110	1	10233110	R	106	0.00	100.00
1.10233126	1	10233126	R	14	0.00	100.00
1.10233129	1	10233129	R	15	0.00	100.00
1.10233134	1	10233134	R	15	0.00	100.00
1.10233235	1	10233235	R	158	0.00	100.00
1.10233250	1	10233250	R	158	0.00	100.00
1.10233256	1	10233256	R	160	0.00	100.00
1.10233269	1	10233269	R	152	0.00	100.00
1.10233281	1	10233281	R	158	0.63	99.37
1.10233305	1	10233305	R	199	0.50	99.50
1.10233311	1	10233311	R	199	0.00	100.00
1.10233337	1	10233337	R	198	0.00	100.00
1.10233690	1	10233690	F	193	3.11	96.89
1.10233824	1	10233824	F	160	0.62	99.38
1.10233851	1	10233851	F	157	9.55	90.45
1.10233775	1	10233775	R	175	9.14	90.86
1.10233796	1	10233796	R	197	0.51	99.49
1.10233825	1	10233825	R	199	1.51	98.49
1.10233852	1	10233852	R	193	8.29	91.71
1.10233876	1	10233876	R	195	6.67	93.33
1.10249779	1	10249779	F	172	98.26	1.74
1.10249815	1	10249815	F	172	84.88	15.12
1.10255625	1	10255625	F	64	32.81	67.19
1.10255703	1	10255703	R	178	47.19	52.81
1.10256812	1	10256812	F	10	90.00	10.00
1.10262611	1	10262611	F	222	77.48	22.52
1.10262685	1	10262685	R	222	92.34	7.66
1.10284516	1	10284516	F	209	77.99	22.01
1.10284717	1	10284717	R	54	79.63	20.37
1.10294827	1	10294827	R	90	85.56	14.44
1.10294884	1	10294884	R	41	100.00	0.00
1.10294890	1	10294890	R	41	100.00	0.00
1.10294907	1	10294907	R	43	93.02	6.98
1.10294927	1	10294927	R	43	86.05	13.95
1.10304415	1	10304415	F	164	77.44	22.56
1.10304532	1	10304532	R	183	91.80	8.20
1.10334579	1	10334579	R	256	99.61	0.39
1.10345136	1	10345136	F	133	94.74	5.26
1.10345186	1	10345186	F	136	94.12	5.88
1.10345258	1	10345258	R	165	93.33	6.67
1.10348859	1	10348859	R	41	17.07	82.93
1.10348868	1	10348868	R	39	0.00	100.00
1.10348907	1	10348907	R	41	73.17	26.83
1.10382660	1	10382660	F	117	92.31	7.69
1.10382679	1	10382679	F	116	87.07	12.93
1.10382684	1	10382684	F	116	97.41	2.59
1.10382686	1	10382686	F	116	92.24	7.76
1.10382857	1	10382857	F	108	61.11	38.89
1.10382880	1	10382880	F	104	56.73	43.27
1.10382797	1	10382797	R	180	94.44	5.56
1.10382809	1	10382809	R	179	91.06	8.94
1.10382881	1	10382881	R	148	67.57	32.43
1.10382906	1	10382906	R	149	96.64	3.36
1.10408337	1	10408337	F	144	88.19	11.81
1.10408608	1	10408608	R	175	89.71	10.29
1.10451317	1	10451317	F	179	95.53	4.47
1.10451542	1	10451542	R	209	94.26	5.74
1.10459984	1	10459984	F	10	100.00	0.00
1.10466336	1	10466336	F	305	91.80	8.20
1.10466361	1	10466361	F	302	89.07	10.93
1.10466365	1	10466365	F	298	92.62	7.38
1.10468049	1	10468049	F	68	89.71	10.29
1.10468318	1	10468318	R	25	84.00	16.00
1.10468325	1	10468325	R	25	100.00	0.00
1.10470579	1	10470579	R	273	86.81	13.19
1.10503107	1	10503107	R	278	88.13	11.87
1.10503139	1	10503139	R	279	92.83	7.17
1.10514892	1	10514892	F	100	96.00	4.00
1.10514903	1	10514903	F	100	95.00	5.00
1.10529358	1	10529358	R	189	89.95	10.05
1.10534952	1	10534952	F	94	95.74	4.26
1.10534959	1	10534959	F	91	83.52	16.48
1.10534997	1	10534997	F	106	86.79	13.21
1.10535036	1	10535036	F	99	96.97	3.03
1.10535038	1	10535038	F	99	98.99	1.01
1.10535040	1	10535040	F	100	95.00	5.00
1.10535151	1	10535151	F	104	95.19	4.81
1.10535196	1	10535196	F	167	82.04	17.96
1.10535220	1	10535220	F	168	93.45	6.55
1.10535235	1	10535235	F	166	97.59	2.41
1.10535119	1	10535119	R	228	96.05	3.95
1.10535126	1	10535126	R	228	91.67	8.33
1.10535152	1	10535152	R	224	93.75	6.25
1.10535197	1	10535197	R	102	96.08	3.92
1.10535318	1	10535318	R	146	99.32	0.68
1.10535325	1	10535325	R	147	85.71	14.29
1.10535351	1	10535351	R	148	89.86	10.14
1.10543482	1	10543482	F	214	99.53	0.47
1.10543493	1	10543493	F	211	95.26	4.74
1.10543495	1	10543495	F	214	99.07	0.93
1.10544916	1	10544916	F	119	89.92	10.08
1.10544957	1	10544957	F	117	92.31	7.69
1.10544965	1	10544965	F	121	0.83	99.17
1.10544917	1	10544917	R	125	2.40	97.60
1.10544958	1	10544958	R	121	96.69	3.31
1.10544966	1	10544966	R	123	91.06	8.94
1.10608997	1	10608997	F	129	85.27	14.73
1.10609239	1	10609239	R	230	90.43	9.57
1.10630509	1	10630509	F	90	97.78	2.22
1.10630524	1	10630524	F	88	88.64	11.36
1.10630530	1	10630530	F	85	100.00	0.00
1.10630554	1	10630554	F	87	93.10	6.90
1.10630555	1	10630555	R	168	89.29	10.71
1.10630558	1	10630558	R	172	95.93	4.07
1.10630568	1	10630568	R	173	94.80	5.20
1.10630588	1	10630588	R	177	94.92	5.08
1.10656326	1	10656326	F	197	84.77	15.23
1.10656344	1	10656344	F	194	94.85	5.15
1.10656354	1	10656354	F	195	77.95	22.05
1.10656442	1	10656442	R	169	87.57	12.43
1.10696029	1	10696029	F	78	78.21	21.79
1.10696142	1	10696142	R	67	89.55	10.45
1.10715654	1	10715654	F	254	94.49	5.51
1.10761405	1	10761405	R	14	92.86	7.14
1.10770967	1	10770967	F	117	71.79	28.21
1.10771011	1	10771011	F	117	69.23	30.77
1.10771198	1	10771198	R	200	59.00	41.00
1.10805307	1	10805307	F	57	54.39	45.61
1.10805317	1	10805317	F	56	51.79	48.21
1.10805330	1	10805330	F	52	50.00	50.00
1.10805318	1	10805318	R	42	47.62	52.38
1.10805331	1	10805331	R	41	46.34	53.66
1.10805340	1	10805340	R	43	44.19	55.81
1.10805548	1	10805548	R	63	100.00	0.00
1.10805553	1	10805553	R	62	77.42	22.58
1.10805560	1	10805560	R	64	79.69	20.31
1.10805563	1	10805563	R	63	60.32	39.68
1.10805580	1	10805580	R	64	93.75	6.25
1.10805586	1	10805586	R	63	100.00	0.00
1.10824166	1	10824166	F	12	75.00	25.00
1.10824186	1	10824186	F	11	63.64	36.36
1.10880372	1	10880372	F	121	49.59	50.41
1.10880420	1	10880420	R	145	44.83	55.17
1.10888594	1	10888594	F	182	96.15	3.85
1.10888617	1	10888617	F	183	84.70	15.30
1.10888626	1	10888626	F	182	89.56	10.44
1.10888618	1	10888618	R	161	86.96	13.04
1.10888627	1	10888627	R	162	90.12	9.88
1.10888657	1	10888657	R	166	95.78	4.22
1.10934130	1	10934130	F	13	100.00	0.00
1.10934150	1	10934150	F	12	100.00	0.00
1.10970727	1	10970727	R	73	97.26	2.74
1.10970741	1	10970741	R	74	97.30	2.70
1.10970761	1	10970761	R	77	98.70	1.30
1.10970766	1	10970766	R	76	96.05	3.95
1.10970776	1	10970776	R	77	96.10	3.90
1.10993566	1	10993566	F	249	1.61	98.39
1.10993578	1	10993578	F	250	0.00	100.00
1.10993592	1	10993592	F	243	0.82	99.18
1.10993594	1	10993594	F	237	3.38	96.62
1.10993599	1	10993599	F	248	4.44	95.56
1.10993601	1	10993601	F	242	3.31	96.69
1.10993603	1	10993603	F	237	3.80	96.20
1.10993608	1	10993608	F	247	2.43	97.57
1.10993610	1	10993610	F	245	2.04	97.96
1.10993614	1	10993614	F	246	2.03	97.97
1.10993658	1	10993658	F	18	0.00	100.00
1.10993677	1	10993677	F	18	0.00	100.00
1.10993679	1	10993679	F	18	5.56	94.44
1.10993684	1	10993684	F	167	1.80	98.20
1.10993695	1	10993695	F	167	1.20	98.80
1.10993704	1	10993704	F	155	4.52	95.48
1.10993719	1	10993719	F	157	0.64	99.36
1.10993728	1	10993728	F	150	1.33	98.67
1.10993785	1	10993785	F	172	0.58	99.42
1.10993798	1	10993798	F	166	2.41	97.59
1.10993801	1	10993801	F	172	3.49	96.51
1.10993807	1	10993807	F	167	1.20	98.80
1.10993832	1	10993832	F	171	1.75	98.25
1.10993919	1	10993919	F	126	3.17	96.83
1.10993925	1	10993925	F	128	3.12	96.88
1.10993927	1	10993927	F	126	0.00	100.00
1.10993931	1	10993931	F	59	0.00	100.00
1.10993957	1	10993957	F	123	2.44	97.56
1.10993967	1	10993967	F	25	0.00	100.00
1.10993974	1	10993974	F	18	5.56	94.44
1.10993985	1	10993985	F	18	0.00	100.00
1.10993987	1	10993987	F	18	0.00	100.00
1.10993994	1	10993994	F	17	0.00	100.00
1.10993996	1	10993996	F	18	5.56	94.44
1.10994004	1	10994004	F	18	0.00	100.00
1.10993602	1	10993602	R	182	2.20	97.80
1.10993604	1	10993604	R	185	4.32	95.68
1.10993609	1	10993609	R	180	1.67	98.33
1.10993611	1	10993611	R	183	3.28	96.72
1.10993615	1	10993615	R	177	5.08	94.92
1.10993620	1	10993620	R	186	2.15	97.85
1.10993627	1	10993627	R	197	0.51	99.49
1.10993652	1	10993652	R	193	1.04	98.96
1.10993678	1	10993678	R	12	0.00	100.00
1.10993680	1	10993680	R	12	0.00	100.00
1.10993685	1	10993685	R	12	0.00	100.00
1.10993738	1	10993738	R	160	0.62	99.38
1.10993748	1	10993748	R	155	1.94	98.06
1.10993750	1	10993750	R	164	0.61	99.39
1.10993758	1	10993758	R	158	2.53	97.47
1.10993776	1	10993776	R	156	1.28	98.72
1.10993778	1	10993778	R	152	1.32	98.68
1.10993783	1	10993783	R	161	0.00	100.00
1.10993786	1	10993786	R	163	0.61	99.39
1.10993871	1	10993871	R	105	10.48	89.52
1.10993875	1	10993875	R	103	0.00	100.00
1.10993877	1	10993877	R	104	0.00	100.00
1.10993883	1	10993883	R	103	3.88	96.12
1.10993891	1	10993891	R	102	2.94	97.06
1.10993909	1	10993909	R	103	0.97	99.03
1.10993920	1	10993920	R	107	2.80	97.20
1.10993926	1	10993926	R	122	2.46	97.54
1.10993928	1	10993928	R	122	2.46	97.54
1.10993932	1	10993932	R	124	0.00	100.00
1.10993958	1	10993958	R	122	2.46	97.54
1.10993968	1	10993968	R	125	3.20	96.80
1.10994260	1	10994260	R	23	13.04	86.96
1.11023393	1	11023393	F	105	91.43	8.57
1.11023466	1	11023466	R	128	82.81	17.19
1.11029242	1	11029242	F	209	55.98	44.02
1.11029434	1	11029434	F	119	94.12	5.88
1.11029427	1	11029427	R	187	88.77	11.23
1.11029435	1	11029435	R	189	93.65	6.35
1.11029579	1	11029579	R	82	95.12	4.88
1.11029581	1	11029581	R	83	92.77	7.23
1.11029589	1	11029589	R	85	98.82	1.18
1.11029593	1	11029593	R	84	90.48	9.52
1.11068101	1	11068101	F	275	86.55	13.45
1.11068301	1	11068301	R	324	89.51	10.49
1.11095139	1	11095139	F	48	87.50	12.50
1.11095147	1	11095147	F	50	64.00	36.00
1.11188603	1	11188603	R	11	90.91	9.09
1.11189991	1	11189991	R	68	82.35	17.65
1.11190033	1	11190033	R	70	98.57	1.43
1.11266005	1	11266005	F	162	85.80	14.20
1.11266035	1	11266035	F	156	83.33	16.67
1.11266040	1	11266040	F	156	91.67	8.33
1.11266119	1	11266119	R	214	80.37	19.63
1.11266159	1	11266159	R	218	83.49	16.51
1.11281480	1	11281480	R	25	84.00	16.00
1.11295235	1	11295235	F	188	79.26	20.74
1.11295408	1	11295408	F	142	91.55	8.45
1.11295444	1	11295444	F	139	86.33	13.67
1.11295450	1	11295450	F	139	84.17	15.83
1.11295656	1	11295656	F	11	63.64	36.36
1.11295397	1	11295397	R	98	94.90	5.10
1.11295409	1	11295409	R	99	94.95	5.05
1.11295623	1	11295623	R	129	78.29	21.71
1.11295657	1	11295657	R	132	79.55	20.45
1.11304937	1	11304937	F	23	95.65	4.35
1.11304948	1	11304948	F	23	100.00	0.00
1.11304966	1	11304966	F	82	79.27	20.73
1.11304979	1	11304979	F	80	77.50	22.50
1.11304949	1	11304949	R	20	85.00	15.00
1.11304967	1	11304967	R	20	90.00	10.00
1.11305052	1	11305052	R	126	75.40	24.60
1.11305071	1	11305071	R	126	85.71	14.29
1.11314997	1	11314997	F	115	95.65	4.35
1.11315004	1	11315004	F	114	90.35	9.65
1.11315019	1	11315019	F	115	88.70	11.30
1.11325034	1	11325034	F	10	100.00	0.00
1.11325209	1	11325209	F	197	99.49	0.51
1.11325220	1	11325220	F	194	94.85	5.15
1.11325386	1	11325386	F	173	97.69	2.31
1.11325368	1	11325368	R	176	77.84	22.16
1.11325387	1	11325387	R	180	98.33	1.67
1.11329483	1	11329483	F	193	6.74	93.26
1.11329518	1	11329518	F	193	6.74	93.26
1.11329603	1	11329603	F	153	3.92	96.08
1.11329652	1	11329652	F	121	3.31	96.69
1.11329570	1	11329570	R	184	8.15	91.85
1.11329604	1	11329604	R	339	1.77	98.23
1.11329653	1	11329653	R	157	8.28	91.72
1.11330530	1	11330530	R	10	0.00	100.00
1.11373713	1	11373713	F	78	83.33	16.67
1.11373757	1	11373757	R	97	93.81	6.19
1.11378326	1	11378326	F	209	63.16	36.84
1.11378482	1	11378482	F	170	94.71	5.29
1.11378565	1	11378565	F	154	91.56	8.44
1.11378580	1	11378580	F	152	83.55	16.45
1.11378535	1	11378535	R	186	93.01	6.99
1.11378566	1	11378566	R	189	94.71	5.29
1.11378660	1	11378660	R	121	95.87	4.13
1.11378671	1	11378671	R	123	91.87	8.13
1.11378675	1	11378675	R	122	91.80	8.20
1.11378682	1	11378682	R	123	98.37	1.63
1.11413788	1	11413788	F	113	7.08	92.92
1.11413901	1	11413901	F	25	8.00	92.00
1.11413936	1	11413936	F	17	17.65	82.35
1.11414187	1	11414187	F	171	4.68	95.32
1.11414190	1	11414190	F	168	2.98	97.02
1.11414200	1	11414200	F	174	2.87	97.13
1.11414204	1	11414204	F	174	1.72	98.28
1.11414209	1	11414209	F	173	0.00	100.00
1.11414211	1	11414211	F	164	4.88	95.12
1.11414232	1	11414232	F	172	3.49	96.51
1.11414245	1	11414245	F	248	1.21	98.79
1.11414264	1	11414264	F	248	0.00	100.00
1.11414291	1	11414291	F	246	0.00	100.00
1.11414293	1	11414293	F	18	5.56	94.44
1.11413871	1	11413871	R	248	2.02	97.98
1.11413873	1	11413873	R	254	1.18	98.82
1.11413902	1	11413902	R	256	3.91	96.09
1.11414144	1	11414144	R	25	0.00	100.00
1.11414149	1	11414149	R	25	0.00	100.00
1.11414151	1	11414151	R	24	0.00	100.00
1.11414160	1	11414160	R	30	0.00	100.00
1.11414166	1	11414166	R	29	6.90	93.10
1.11414168	1	11414168	R	29	0.00	100.00
1.11414170	1	11414170	R	28	0.00	100.00
1.11414176	1	11414176	R	25	0.00	100.00
1.11414184	1	11414184	R	30	0.00	100.00
1.11414188	1	11414188	R	30	0.00	100.00
1.11414201	1	11414201	R	176	4.55	95.45
1.11414205	1	11414205	R	177	1.69	98.31
1.11414210	1	11414210	R	174	2.30	97.70
1.11414212	1	11414212	R	183	2.19	97.81
1.11414233	1	11414233	R	175	1.14	98.86
1.11414239	1	11414239	R	183	1.09	98.91
1.11414246	1	11414246	R	183	1.09	98.91
1.11414379	1	11414379	R	238	1.26	98.74
1.11414405	1	11414405	R	220	2.27	97.73
1.11414409	1	11414409	R	236	2.12	97.88
1.11415001	1	11415001	F	197	35.53	64.47
1.11415056	1	11415056	R	171	79.53	20.47
1.11415086	1	11415086	R	177	66.10	33.90
1.11487564	1	11487564	F	219	94.98	5.02
1.11487745	1	11487745	R	154	96.75	3.25
1.11487780	1	11487780	R	150	86.00	14.00
1.11586629	1	11586629	R	10	70.00	30.00
1.11600003	1	11600003	F	11	100.00	0.00
1.11600027	1	11600027	F	11	100.00	0.00
1.11665301	1	11665301	F	95	93.68	6.32
1.11665348	1	11665348	R	129	95.35	4.65
1.11673976	1	11673976	F	82	56.10	43.90
1.11674010	1	11674010	F	82	93.90	6.10
1.11674024	1	11674024	F	81	86.42	13.58
1.11674384	1	11674384	F	11	100.00	0.00
1.11674417	1	11674417	F	10	80.00	20.00
1.11691061	1	11691061	F	98	86.73	13.27
1.11700711	1	11700711	R	24	79.17	20.83
1.11709355	1	11709355	F	96	54.17	45.83
1.11709395	1	11709395	F	47	89.36	10.64
1.11709440	1	11709440	F	45	80.00	20.00
1.11709521	1	11709521	R	79	83.54	16.46
1.11709526	1	11709526	R	80	97.50	2.50
1.11710819	1	11710819	F	94	92.55	7.45
1.11710861	1	11710861	F	85	84.71	15.29
1.11720483	1	11720483	F	19	94.74	5.26
1.11720487	1	11720487	F	22	68.18	31.82
1.11720494	1	11720494	F	382	89.27	10.73
1.11720509	1	11720509	F	364	84.89	15.11
1.11720529	1	11720529	F	267	86.89	13.11
1.11723632	1	11723632	R	177	96.05	3.95
1.11730433	1	11730433	F	171	87.13	12.87
1.11730604	1	11730604	R	43	100.00	0.00
1.11777188	1	11777188	R	98	92.86	7.14
1.11782889	1	11782889	F	80	90.00	10.00
1.11782914	1	11782914	F	69	85.51	14.49
1.11805458	1	11805458	F	11	45.45	54.55
1.11805498	1	11805498	R	154	51.30	48.70
1.11805521	1	11805521	R	154	87.66	12.34
1.11831416	1	11831416	R	11	100.00	0.00
1.11831422	1	11831422	R	11	100.00	0.00
1.11839948	1	11839948	F	210	87.62	12.38
1.11840045	1	11840045	R	170	82.35	17.65
1.11853832	1	11853832	F	155	97.42	2.58
1.11853850	1	11853850	F	152	90.13	9.87
1.11853864	1	11853864	F	149	89.26	10.74
1.11853888	1	11853888	F	92	70.65	29.35
1.11853926	1	11853926	F	98	54.08	45.92
1.11853851	1	11853851	R	190	92.11	7.89
1.11853865	1	11853865	R	186	95.70	4.30
1.11853889	1	11853889	R	192	72.40	27.60
1.11860780	1	11860780	F	198	66.67	33.33
1.11861398	1	11861398	F	49	93.88	6.12
1.11861416	1	11861416	F	49	87.76	12.24
1.11861417	1	11861417	R	57	92.98	7.02
1.11861447	1	11861447	R	55	70.91	29.09
1.11891318	1	11891318	R	52	100.00	0.00
1.11891338	1	11891338	R	53	96.23	3.77
1.11891340	1	11891340	R	55	92.73	7.27
1.11891348	1	11891348	R	57	91.23	8.77
1.11891352	1	11891352	R	59	98.31	1.69
1.11929629	1	11929629	R	223	95.07	4.93
1.11937238	1	11937238	F	202	66.83	33.17
1.11937284	1	11937284	F	198	31.31	68.69
1.11937383	1	11937383	R	162	56.79	43.21
1.12029751	1	12029751	F	270	76.67	23.33
1.12029770	1	12029770	F	267	61.80	38.20
1.12029943	1	12029943	R	135	82.22	17.78
1.12029955	1	12029955	R	134	58.21	41.79
1.12040436	1	12040436	F	88	85.23	14.77
1.12040486	1	12040486	F	88	90.91	9.09
1.12041884	1	12041884	F	35	68.57	31.43
1.12041957	1	12041957	R	68	83.82	16.18
1.12044795	1	12044795	R	145	95.17	4.83
1.12044837	1	12044837	R	149	89.26	10.74
1.12075615	1	12075615	F	198	90.40	9.60
1.12075631	1	12075631	F	198	93.43	6.57
1.12075637	1	12075637	F	195	93.33	6.67
1.12075641	1	12075641	F	196	58.16	41.84
1.12075648	1	12075648	F	198	96.97	3.03
1.12075675	1	12075675	R	127	70.87	29.13
1.12075724	1	12075724	R	126	95.24	4.76
1.12138330	1	12138330	F	209	64.59	35.41
1.12138428	1	12138428	R	124	62.10	37.90
1.12234570	1	12234570	R	145	88.97	11.03
1.12234604	1	12234604	R	145	97.24	2.76
1.12234613	1	12234613	R	144	92.36	7.64
1.12234616	1	12234616	R	146	100.00	0.00
1.12270057	1	12270057	F	60	86.67	13.33
1.12270073	1	12270073	F	55	69.09	30.91
1.12270092	1	12270092	F	10	90.00	10.00
1.12270053	1	12270053	R	68	58.82	41.18
1.12270058	1	12270058	R	69	0.00	100.00
1.12270074	1	12270074	R	67	0.00	100.00
1.12270093	1	12270093	R	70	95.71	4.29
1.12313837	1	12313837	F	106	65.09	34.91
1.12313873	1	12313873	F	104	74.04	25.96
1.12321268	1	12321268	F	176	84.09	15.91
1.12321417	1	12321417	R	159	64.78	35.22
1.12321456	1	12321456	R	161	86.34	13.66
1.12321461	1	12321461	R	164	90.85	9.15
1.12344695	1	12344695	F	198	88.89	11.11
1.12344705	1	12344705	F	195	80.00	20.00
1.12344738	1	12344738	F	196	44.90	55.10
1.12344892	1	12344892	F	155	59.35	40.65
1.12344902	1	12344902	F	151	64.24	35.76
1.12344940	1	12344940	F	145	52.41	47.59
1.12344875	1	12344875	R	150	75.33	24.67
1.12344893	1	12344893	R	152	64.47	35.53
1.12344941	1	12344941	R	202	57.43	42.57
1.12344968	1	12344968	R	200	33.50	66.50
1.12344971	1	12344971	R	202	40.59	59.41
1.12344982	1	12344982	R	201	40.80	59.20
1.12352698	1	12352698	F	12	100.00	0.00
1.12352701	1	12352701	F	12	100.00	0.00
1.12380097	1	12380097	R	99	91.92	8.08
1.12440229	1	12440229	F	165	90.30	9.70
1.12457740	1	12457740	F	169	88.17	11.83
1.12457790	1	12457790	F	164	92.07	7.93
1.12457858	1	12457858	F	292	89.73	10.27
1.12457839	1	12457839	R	149	80.54	19.46
1.12457859	1	12457859	R	149	81.88	18.12
1.12457942	1	12457942	R	221	92.31	7.69
1.12467703	1	12467703	R	11	81.82	18.18
1.12470422	1	12470422	F	145	93.79	6.21
1.12470477	1	12470477	R	144	78.47	21.53
1.12498569	1	12498569	F	234	97.01	2.99
1.12498580	1	12498580	F	233	93.13	6.87
1.12498725	1	12498725	F	105	94.29	5.71
1.12498752	1	12498752	F	106	95.28	4.72
1.12498755	1	12498755	F	105	97.14	2.86
1.12515736	1	12515736	R	179	96.65	3.35
1.12551818	1	12551818	F	316	91.14	8.86
1.12551972	1	12551972	R	83	59.04	40.96
1.12565846	1	12565846	F	136	99.26	0.74
1.12565861	1	12565861	F	136	90.44	9.56
1.12565862	1	12565862	R	100	92.00	8.00
1.12565901	1	12565901	R	102	91.18	8.82
1.12572959	1	12572959	F	126	57.94	42.06
1.12572996	1	12572996	F	124	59.68	40.32
1.12588755	1	12588755	R	68	92.65	7.35
1.12588767	1	12588767	R	83	92.77	7.23
1.12588775	1	12588775	R	86	95.35	4.65
1.12588778	1	12588778	R	86	91.86	8.14
1.12588797	1	12588797	R	82	96.34	3.66
1.12589298	1	12589298	F	289	93.77	6.23
1.12589496	1	12589496	F	10	100.00	0.00
1.12620777	1	12620777	R	10	90.00	10.00
1.12653845	1	12653845	R	29	75.86	24.14
1.12668476	1	12668476	F	11	81.82	18.18
1.12668487	1	12668487	F	10	70.00	30.00
1.12668493	1	12668493	F	12	0.00	100.00
1.12671982	1	12671982	F	230	82.61	17.39
1.12672085	1	12672085	R	30	73.33	26.67
1.12672125	1	12672125	R	31	80.65	19.35
1.12692929	1	12692929	F	195	2.56	97.44
1.12692936	1	12692936	F	195	2.56	97.44
1.12692939	1	12692939	F	194	7.22	92.78
1.12692963	1	12692963	F	198	6.57	93.43
1.12693072	1	12693072	F	289	2.08	97.92
1.12693090	1	12693090	F	293	2.39	97.61
1.12693099	1	12693099	F	280	7.14	92.86
1.12693230	1	12693230	F	267	3.37	96.63
1.12693239	1	12693239	F	266	2.63	97.37
1.12693245	1	12693245	F	267	3.37	96.63
1.12693257	1	12693257	F	264	1.14	98.86
1.12693279	1	12693279	F	257	7.00	93.00
1.12693333	1	12693333	F	178	1.69	98.31
1.12693365	1	12693365	F	179	0.00	100.00
1.12693368	1	12693368	F	179	0.00	100.00
1.12693464	1	12693464	F	290	2.07	97.93
1.12693476	1	12693476	F	288	1.39	98.61
1.12693030	1	12693030	R	229	0.87	99.13
1.12693050	1	12693050	R	236	2.12	97.88
1.12693065	1	12693065	R	237	2.11	97.89
1.12693073	1	12693073	R	232	1.29	98.71
1.12693198	1	12693198	R	206	6.31	93.69
1.12693231	1	12693231	R	208	5.29	94.71
1.12693334	1	12693334	R	203	1.48	98.52
1.12693458	1	12693458	R	133	9.02	90.98
1.12693465	1	12693465	R	134	5.22	94.78
1.12693631	1	12693631	R	245	14.69	85.31
1.12703242	1	12703242	F	71	97.18	2.82
1.12703523	1	12703523	R	54	81.48	18.52
1.12704506	1	12704506	F	165	90.30	9.70
1.12704576	1	12704576	R	213	61.97	38.03
1.12717173	1	12717173	F	16	87.50	12.50
1.12717194	1	12717194	F	14	100.00	0.00
1.12717200	1	12717200	F	68	92.65	7.35
1.12717195	1	12717195	R	11	100.00	0.00
